,DisGENet_id,Disease_name,Disease_type,Disease_class,Disease_class_name
0,C0001618,Tumors of Adrenal Cortex,group,C04,   Neoplasms
1,C0001618,Tumors of Adrenal Cortex,group,C19,   Endocrine System Diseases
6,C0001815,Primary Myelofibrosis,disease,C15,   Hemic and Lymphatic Diseases
8,C0005426,Biliary Tract Neoplasm,disease,C06,   Digestive System Diseases
9,C0005426,Biliary Tract Neoplasm,disease,C04,   Neoplasms
14,C0005684,Malignant neoplasm of urinary bladder,disease,C04,   Neoplasms
15,C0005684,Malignant neoplasm of urinary bladder,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
16,C0005684,Malignant neoplasm of urinary bladder,disease,C12,   Male Urogenital Diseases
74,C0005695,Bladder Neoplasm,disease,C04,   Neoplasms
75,C0005695,Bladder Neoplasm,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
76,C0005695,Bladder Neoplasm,disease,C12,   Male Urogenital Diseases
134,C0006118,Brain Neoplasms,group,C04,   Neoplasms
135,C0006118,Brain Neoplasms,group,C10,   Nervous System Diseases
146,C0006142,Malignant neoplasm of breast,disease,C04,   Neoplasms
147,C0006142,Malignant neoplasm of breast,disease,C17,   Skin and Connective Tissue Diseases
244,C0006413,Burkitt Lymphoma,disease,C04,   Neoplasms
245,C0006413,Burkitt Lymphoma,disease,C01,   Infections
246,C0006413,Burkitt Lymphoma,disease,C20,   Immune System Diseases
247,C0006413,Burkitt Lymphoma,disease,C15,   Hemic and Lymphatic Diseases
256,C0006826,Malignant Neoplasms,group,C04,   Neoplasms
333,C0007103,Malignant neoplasm of endometrium,disease,C04,   Neoplasms
334,C0007103,Malignant neoplasm of endometrium,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
379,C0007112,Adenocarcinoma of prostate,disease,C04,   Neoplasms
380,C0007112,Adenocarcinoma of prostate,disease,C12,   Male Urogenital Diseases
427,C0007113,Rectal Carcinoma,disease,C06,   Digestive System Diseases
428,C0007113,Rectal Carcinoma,disease,C04,   Neoplasms
429,C0007114,Malignant neoplasm of skin,disease,C04,   Neoplasms
430,C0007114,Malignant neoplasm of skin,disease,C17,   Skin and Connective Tissue Diseases
435,C0007115,Malignant neoplasm of thyroid,disease,C04,   Neoplasms
436,C0007115,Malignant neoplasm of thyroid,disease,C19,   Endocrine System Diseases
445,C0007117,Basal cell carcinoma,disease,C04,   Neoplasms
456,C0007129,Merkel cell carcinoma,disease,C04,   Neoplasms
457,C0007129,Merkel cell carcinoma,disease,C01,   Infections
458,C0007131,Non-Small Cell Lung Carcinoma,disease,C04,   Neoplasms
459,C0007131,Non-Small Cell Lung Carcinoma,disease,C08,   Respiratory Tract Diseases
508,C0007137,Squamous cell carcinoma,disease,C04,   Neoplasms
520,C0007138,"Carcinoma, Transitional Cell",disease,C04,   Neoplasms
521,C0007847,Malignant tumor of cervix,disease,C04,   Neoplasms
522,C0007847,Malignant tumor of cervix,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
529,C0007873,Uterine Cervical Neoplasm,disease,C04,   Neoplasms
